Chromosome/scaffold name	Start (bp)	End (bp)	Feature type	Feature type class
GL000191.1	28699	29277	DNase1	Open Chromatin
GL000191.1	29335	29913	DNase1	Open Chromatin
GL000191.1	49781	50492	DNase1	Open Chromatin
GL000192.1	224808	225421	DNase1	Open Chromatin
GL000192.1	443960	444774	DNase1	Open Chromatin
GL000192.1	470378	470806	DNase1	Open Chromatin
GL000192.1	482202	482642	DNase1	Open Chromatin
GL000192.1	506151	506743	DNase1	Open Chromatin
GL000192.1	508394	508938	DNase1	Open Chromatin
GL000192.1	510544	511406	DNase1	Open Chromatin
GL000192.1	540627	541055	DNase1	Open Chromatin
GL000192.1	542471	543105	DNase1	Open Chromatin
GL000192.1	544624	545670	DNase1	Open Chromatin
GL000193.1	58827	59313	DNase1	Open Chromatin
GL000194.1	114667	115409	DNase1	Open Chromatin
GL000195.1	30086	33604	DNase1	Open Chromatin
GL000199.1	121114	125752	DNase1	Open Chromatin
GL000199.1	136397	139873	DNase1	Open Chromatin
GL000199.1	159016	161391	DNase1	Open Chromatin
GL000199.1	167736	168985	DNase1	Open Chromatin
GL000199.1	168997	169874	DNase1	Open Chromatin
GL000199.1	30947	31535	DNase1	Open Chromatin
GL000199.1	31540	31744	DNase1	Open Chromatin
GL000199.1	34349	35179	DNase1	Open Chromatin
GL000199.1	48325	50579	DNase1	Open Chromatin
GL000199.1	50585	53331	DNase1	Open Chromatin
GL000199.1	54301	58157	DNase1	Open Chromatin
GL000199.1	74617	82427	DNase1	Open Chromatin
GL000199.1	86208	86923	DNase1	Open Chromatin
GL000199.1	86934	89868	DNase1	Open Chromatin
GL000199.1	92725	93950	DNase1	Open Chromatin
GL000199.1	98733	100438	DNase1	Open Chromatin
GL000200.1	153144	153645	DNase1	Open Chromatin
GL000200.1	168281	169248	DNase1	Open Chromatin
GL000205.1	84435	87880	DNase1	Open Chromatin
GL000205.1	89319	89785	DNase1	Open Chromatin
GL000206.1	20888	21258	DNase1	Open Chromatin
GL000206.1	30679	31746	DNase1	Open Chromatin
GL000206.1	37489	38999	DNase1	Open Chromatin
GL000209.1	107764	108167	DNase1	Open Chromatin
GL000209.1	124125	124715	DNase1	Open Chromatin
GL000209.1	140308	140950	DNase1	Open Chromatin
GL000209.1	156527	157217	DNase1	Open Chromatin
GL000209.1	30942	31581	DNase1	Open Chromatin
GL000209.1	41704	42176	DNase1	Open Chromatin
GL000209.1	49395	49832	DNase1	Open Chromatin
GL000209.1	78408	78804	DNase1	Open Chromatin
GL000209.1	79235	80005	DNase1	Open Chromatin
GL000212.1	102710	103311	DNase1	Open Chromatin
GL000212.1	125372	125804	DNase1	Open Chromatin
GL000213.1	57534	58023	DNase1	Open Chromatin
GL000215.1	35761	36267	DNase1	Open Chromatin
GL000216.1	154335	154615	DNase1	Open Chromatin
GL000216.1	154880	155492	DNase1	Open Chromatin
GL000216.1	160446	160844	DNase1	Open Chromatin
GL000216.1	169178	170534	DNase1	Open Chromatin
GL000216.1	1801	1998	DNase1	Open Chromatin
GL000218.1	93219	93653	DNase1	Open Chromatin
GL000218.1	97197	97791	DNase1	Open Chromatin
GL000219.1	42358	42892	DNase1	Open Chromatin
GL000219.1	99190	100291	DNase1	Open Chromatin
GL000220.1	103980	127702	DNase1	Open Chromatin
GL000220.1	128846	129072	DNase1	Open Chromatin
GL000220.1	133730	135356	DNase1	Open Chromatin
GL000220.1	137059	138809	DNase1	Open Chromatin
GL000220.1	144128	146108	DNase1	Open Chromatin
GL000220.1	147845	161802	DNase1	Open Chromatin
GL000220.1	6964	8021	DNase1	Open Chromatin
GL000220.1	96527	97525	DNase1	Open Chromatin
GL000221.1	79789	80304	DNase1	Open Chromatin
GL000222.1	82955	83304	DNase1	Open Chromatin
GL000223.1	119534	119914	DNase1	Open Chromatin
GL000223.1	24724	26149	DNase1	Open Chromatin
GL000223.1	68414	69080	DNase1	Open Chromatin
GL000225.1	111094	111481	DNase1	Open Chromatin
