Chromosome/scaffold name	Start (bp)	End (bp)	Feature type
15	28856408	28857161	TF binding site
13	57435490	57436002	TF binding site
8	141159038	141159472	TF binding site
12	26103652	26104092	TF binding site
10	54125272	54125879	TF binding site
1	152043370	152044128	TF binding site
5	138347849	138348174	TF binding site
20	52289942	52290474	TF binding site
20	32684491	32684850	TF binding site
2	130715494	130715866	TF binding site
1	8344288	8344565	TF binding site
1	201242050	201242311	TF binding site
2	82062470	82063027	TF binding site
7	4573037	4573534	TF binding site
16	16246247	16246489	TF binding site
5	27491200	27491523	TF binding site
3	138661816	138662553	TF binding site
5	32267941	32268637	TF binding site
9	119259403	119259800	TF binding site
11	68522624	68522903	TF binding site
20	44005423	44005657	TF binding site
15	75851678	75852111	TF binding site
3	75343221	75343637	TF binding site
3	87482554	87482981	TF binding site
17	21754674	21755299	TF binding site
20	48590527	48590812	TF binding site
5	42971247	42971636	TF binding site
3	135471757	135472030	TF binding site
6	143789914	143790073	TF binding site
10	44988154	44988451	TF binding site
6	27753006	27753301	TF binding site
11	66244059	66244775	TF binding site
2	131257809	131258073	TF binding site
18	52786667	52786881	TF binding site
1	202284669	202285201	TF binding site
17	50674832	50675198	TF binding site
2	160153820	160154149	TF binding site
3	197897744	197897910	TF binding site
15	89950289	89951603	TF binding site
20	40820932	40821319	TF binding site
1	24263210	24263593	TF binding site
18	966979	967474	TF binding site
17	17404353	17404646	TF binding site
19	7706227	7706511	TF binding site
12	110086819	110087181	TF binding site
11	892113	892425	TF binding site
6	49566493	49566920	TF binding site
2	183165902	183166162	TF binding site
7	67058797	67059123	TF binding site
10	102998313	102998915	TF binding site
1	168085627	168085768	TF binding site
7	155617170	155617595	TF binding site
19	48186397	48186582	TF binding site
1	46877560	46878097	TF binding site
11	3235142	3235152	TF binding site
3	195784949	195785350	TF binding site
10	8872827	8873249	TF binding site
3	151267809	151268258	TF binding site
5	104183478	104184174	TF binding site
16	3537862	3538434	TF binding site
3	58517695	58518078	TF binding site
13	106634680	106634905	TF binding site
11	74361420	74362051	TF binding site
18	20363620	20364116	TF binding site
12	48719414	48719583	TF binding site
10	135310768	135311241	TF binding site
3	63350204	63350563	TF binding site
2	130089232	130089493	TF binding site
20	58226833	58227316	TF binding site
5	68925520	68925720	TF binding site
9	69749591	69749960	TF binding site
2	104649873	104650162	TF binding site
12	81844973	81845357	TF binding site
17	52826525	52826905	TF binding site
GL000192.1	542705	543135	TF binding site
5	12660434	12660659	TF binding site
7	154896716	154896979	TF binding site
8	60740952	60741219	TF binding site
17	889486	890060	TF binding site
11	9473625	9473906	TF binding site
14	74041602	74042063	TF binding site
16	23295918	23296365	TF binding site
20	10329823	10330114	TF binding site
5	70075590	70075831	TF binding site
16	77651986	77652293	TF binding site
2	61317458	61317931	TF binding site
19	44919662	44919839	TF binding site
10	52931800	52932084	TF binding site
19	17365480	17365744	TF binding site
1	193078834	193079120	TF binding site
6	28520127	28520583	TF binding site
18	25939158	25939506	TF binding site
9	42864142	42864299	TF binding site
5	175596559	175596920	TF binding site
16	78039840	78040142	TF binding site
5	45623862	45624253	TF binding site
18	46781038	46781509	TF binding site
4	109398642	109398900	TF binding site
2	209000812	209001194	TF binding site
4	73339184	73339797	TF binding site
2	239054594	239054978	TF binding site
18	67794593	67794989	TF binding site
8	112112831	112113208	TF binding site
12	70484986	70485435	TF binding site
19	5343726	5344254	TF binding site
11	11722608	11722925	TF binding site
3	172705029	172705435	TF binding site
3	137023556	137023838	TF binding site
2	125324088	125324632	TF binding site
6	154842425	154842947	TF binding site
2	53687492	53687877	TF binding site
5	28137229	28137444	TF binding site
3	43719689	43720379	TF binding site
3	165638645	165639393	TF binding site
1	156846035	156846471	TF binding site
11	62424623	62424984	TF binding site
4	120926704	120927042	TF binding site
1	150878798	150879261	TF binding site
2	31954771	31955112	TF binding site
7	111076790	111076973	TF binding site
1	39239252	39239459	TF binding site
12	63812854	63813417	TF binding site
17	76101591	76102137	TF binding site
1	168062346	168062522	TF binding site
1	621489	622004	TF binding site
6	103261341	103261795	TF binding site
2	226431581	226431854	TF binding site
16	28738354	28738835	TF binding site
8	105089772	105090146	TF binding site
20	13070299	13071101	TF binding site
16	18346704	18347226	TF binding site
9	133945342	133945595	TF binding site
18	47358524	47358989	TF binding site
17	14688409	14688648	TF binding site
1	223191625	223192493	TF binding site
5	16803850	16804440	TF binding site
GL000205.1	94604	96677	TF binding site
12	12565957	12566360	TF binding site
8	67107744	67108299	TF binding site
20	50449765	50450491	TF binding site
7	154706700	154707002	TF binding site
2	113029522	113030089	TF binding site
1	22495189	22495451	TF binding site
11	116369988	116370529	TF binding site
12	123484367	123485099	TF binding site
2	211067874	211068205	TF binding site
11	44921536	44921898	TF binding site
16	56979753	56979914	TF binding site
5	77313043	77313361	TF binding site
10	36981907	36982132	TF binding site
GL000220.1	49369	49798	TF binding site
GL000211.1	79622	79910	TF binding site
2	109439782	109440109	TF binding site
22	42461430	42461691	TF binding site
1	152750071	152750437	TF binding site
4	156326191	156326519	TF binding site
3	165262990	165263184	TF binding site
20	50481624	50481850	TF binding site
6	38101729	38102160	TF binding site
GL000208.1	48967	49257	TF binding site
1	164726003	164726398	TF binding site
2	2295585	2296111	TF binding site
5	54620712	54620901	TF binding site
17	49946802	49947074	TF binding site
20	55910503	55910815	TF binding site
6	148191952	148192140	TF binding site
11	14834414	14834695	TF binding site
19	32167258	32167531	TF binding site
7	106642050	106642489	TF binding site
13	24472192	24472823	TF binding site
1	109608911	109609383	TF binding site
20	53191738	53191930	TF binding site
9	131862612	131862997	TF binding site
19	49063600	49063861	TF binding site
12	108025469	108025949	TF binding site
2	10731371	10731577	TF binding site
22	21477616	21477860	TF binding site
16	22293417	22294144	TF binding site
7	139976751	139976909	TF binding site
4	174968614	174968854	TF binding site
10	132131533	132131781	TF binding site
5	109341440	109342283	TF binding site
14	71714747	71715333	TF binding site
7	10628657	10628922	TF binding site
5	143769738	143769987	TF binding site
X	114556897	114557153	TF binding site
3	118155650	118155989	TF binding site
20	55693162	55693663	TF binding site
19	21862846	21863121	TF binding site
20	46251974	46252519	TF binding site
20	49498382	49498920	TF binding site
10	101180972	101181577	TF binding site
8	143069897	143070285	TF binding site
4	144924280	144924693	TF binding site
4	8480799	8481394	TF binding site
8	116789486	116790071	TF binding site
17	77671329	77671489	TF binding site
5	124814322	124814699	TF binding site
X	30273824	30274059	TF binding site
20	53514063	53514629	TF binding site
6	128145878	128145998	TF binding site
11	122155809	122156025	TF binding site
5	134355025	134355292	TF binding site
20	45193155	45193650	TF binding site
20	2639045	2639708	TF binding site
6	148123545	148123815	TF binding site
21	45907666	45908111	TF binding site
16	783669	784095	TF binding site
X	48836957	48837278	TF binding site
10	100618358	100618669	TF binding site
3	139307277	139307712	TF binding site
4	185942260	185942819	TF binding site
4	46443101	46443636	TF binding site
8	40560144	40560454	TF binding site
8	127002926	127003327	TF binding site
1	154506758	154507156	TF binding site
2	178411958	178412171	TF binding site
7	67528179	67528498	TF binding site
5	10317721	10318300	TF binding site
5	174534916	174534971	TF binding site
20	43746248	43746604	TF binding site
4	139694613	139694959	TF binding site
16	82655357	82655707	TF binding site
4	98080764	98081150	TF binding site
20	55824699	55825225	TF binding site
4	35254963	35255465	TF binding site
7	44854594	44854825	TF binding site
9	44211418	44211772	TF binding site
5	96237176	96237457	TF binding site
10	1153640	1154042	TF binding site
4	119382629	119382923	TF binding site
20	12551044	12551352	TF binding site
1	168568146	168568538	TF binding site
7	116043193	116043859	TF binding site
