CCDS release 9,CCDS release 15,X [mutability of noncoding sequence],Y [Tally of unique common noncoding variation],ncRVIS,ncRVIS percentile [Ensembl73] (n=690 WGS),ncGERP      [Average GERP++],ncGERP percentile [Ensembl73],RVIS-CHGV percentile [CCDS r14] (n=690 WGS),RVIS percentile (Petrovski et al 2013),pcGERP percentile [CCDS r14],Used in Table 1,ncCADD     [Average CADD],ncGWAVA [Average GWAVA]
EIF2C3,AGO3,0.000195753,20,-6.689327411,0.006145148,0.877627094,22.10461094,6.173762946,8.321538099,1.939655172,Yes,7.248872085,0.174017867
ZNF704,ZNF704,0.00015632,17,-5.09916423,0.012290297,0.297279423,36.85650849,48.07249712,19.54470394,16.44935345,Yes,7.875095274,0.668422312
CBX5,CBX5,0.000133062,11,-5.09556072,0.018435445,0.862703084,22.48154077,50.31070196,56.2514744,5.393318966,Yes,8.758443145,0.626803191
INO80D,INO80D,0.000127563,10,-5.002622585,0.024580594,2.18262281,5.891464863,10.49482163,23.62585515,6.346982759,Yes,10.327244,0.614126331
SOGA1,SOGA1,0.000113802,10,-4.219755007,0.030725742,0.363099089,34.76015903,2.359033372,-,49.36961207,No,7.254760477,0.43472562
POTEM,POTEM,7.24106E-05,0,-4.066597023,0.03687089,-,-,21.85270426,-,93.64224138,No,-,-
TNPO1,TNPO1,0.000107153,9,-4.061714179,0.043016039,2.13724463,6.227087313,7.53164557,12.77423921,4.617456897,Yes,6.669647847,0.605109783
ZNF207,ZNF207,0.00014664,20,-3.887548531,0.049161187,0.577235122,29.06490422,55.46605293,40.15687662,0.818965517,Yes,7.151820629,0.536007814
BMPR2,BMPR2,0.000102403,9,-3.79180093,0.055306336,1.454637823,12.8879021,13.83774453,9.613116301,4.951508621,Yes,5.840115483,0.651050058
HOOK3,HOOK3,0.000142556,20,-3.655251936,0.061451484,0.410537053,33.43832292,13.44649022,15.61689078,7.160560345,Yes,5.718543418,0.186343397
DCX,DCX,9.06927E-05,7,-3.566269335,0.067596632,1.529635837,11.97397635,21.72612198,46.20193442,11.05603448,Yes,6.039785185,0.676596997
POTEG,POTEG,7.5025E-05,3,-3.555722115,0.073741781,-,-,20.46605293,-,95.35021552,No,-,-
PTEN,PTEN,8.53828E-05,6,-3.484527172,0.079886929,2.267769325,5.318324986,30.44879171,36.86010852,0.695043103,Yes,7.986630195,0.751368317
GRIK3,GRIK3,8.08706E-05,5,-3.448098417,0.086032078,0.242294178,38.75664791,6.789413119,2.677518283,14.29956897,Yes,8.443086129,0.722615758
MMP16,MMP16,0.000111555,13,-3.432432894,0.092177226,1.725476823,9.707233955,14.03912543,27.68931352,4.849137931,Yes,7.764263393,0.685408818
STC2,STC2,7.28314E-05,3,-3.431205992,0.098322374,0.379172225,34.31610471,25.30494822,20.53550366,40.12931034,Yes,9.164711372,0.626042644
EIF2C1,AGO1,0.000114312,14,-3.369239565,0.104467523,1.474570769,12.66071152,4.17146145,12.23755603,1.045258621,Yes,7.638281081,0.53630281
ZC3H6,ZC3H6,9.43955E-05,9,-3.337005631,0.110612671,0.654080962,27.02018898,13.38895282,18.90186365,38.90086207,Yes,7.42497586,0.627805501
ZEB2,ZEB2,7.88333E-05,5,-3.332450679,0.11675782,3.551980988,0.593793566,2.738780207,10.03184713,1.993534483,Yes,12.34163398,0.430935551
ZNF148,ZNF148,8.62147E-05,7,-3.31201997,0.122902968,2.911826617,2.235761863,10.89758343,20.53550366,5.754310345,Yes,11.72015788,0.480873506
CBFA2T2,CBFA2T2,8.15134E-05,6,-3.264866833,0.129048117,0.457739375,32.21459183,10.76524741,29.31115829,22.34913793,Yes,5.598528534,0.591642268
CLCN5,CLCN5,8.89384E-05,8,-3.24691756,0.135193265,1.278453496,15.23725926,7.51438435,55.44939844,6.734913793,Yes,6.238192838,0.656591657
CSRNP3,CSRNP3,0.000111187,14,-3.191734723,0.141338413,1.483780304,12.55227965,67.57192175,40.35739561,17.05280172,Yes,7.843780459,0.640099285
ZC3H12C,ZC3H12C,6.78486E-05,3,-3.148427993,0.147483562,1.603516259,11.07554087,17.38204833,14.13658882,25.77586207,Yes,7.507580899,0.762773004
ICK,ICK,5.99178E-05,1,-3.137767737,0.15362871,0.9214475,21.29911705,39.71806674,39.11299835,26.42241379,Yes,8.562622577,0.668993711
KIAA2022,KIAA2022,7.13351E-05,4,-3.126595665,0.159773859,2.185258253,5.855320907,2.393555811,13.10450578,23.22737069,Yes,5.851275288,0.674100418
SMC1A,SMC1A,7.51286E-05,5,-3.12219052,0.165919007,0.788344949,23.87050137,2.710011507,22.09247464,14.71982759,Yes,5.727922882,0.610199115
KCNB1,KCNB1,0.000113735,15,-3.116670166,0.172064155,0.670508787,26.63809573,71.83544304,50.34206181,20.75431034,Yes,8.987280562,0.518649018
WNK3,WNK3,5.94186E-05,1,-3.109446104,0.178209304,2.317795228,4.967212268,1.265822785,4.712196273,34.9137931,Yes,6.70875566,0.691610351
CDK6,CDK6,0.000124825,18,-3.08722098,0.184354452,0.77308638,24.22161409,27.34177215,66.82000472,7.074353448,Yes,6.807342404,0.660894572
C1orf21,C1orf21,0.000116893,16,-3.076252157,0.190499601,0.481728133,31.47622244,55.19562716,51.03798066,1.25,Yes,7.495953935,0.678211114
UBXN7,UBXN7,0.000112618,15,-3.053232759,0.196644749,0.861920274,22.49703103,20.50057537,38.57631517,5.134698276,Yes,4.903091966,0.554754923
AR,AR,7.77222E-05,6,-3.049698036,0.202789897,1.430839152,13.10992926,-,17.30950696,33.28125,No,4.48462065,0.682755697
HDAC2,HDAC2,0.000104482,13,-3.030737984,0.208935046,-0.008231462,48.64976506,25.63866513,44.53880632,4.337284483,Yes,4.793609923,0.522520513
FOXN3,FOXN3,8.00833E-05,7,-2.964014759,0.215080194,1.959637239,7.569577116,15.50632911,29.31115829,8.184267241,Yes,8.723460358,0.53524344
CEP97,CEP97,7.20399E-05,5,-2.946926838,0.221225343,0.580651868,28.96163577,8.423475259,18.21184242,40.45258621,Yes,5.913397459,0.564037277
VGLL3,VGLL3,0.000102941,13,-2.943246813,0.227370491,0.465814306,31.91511334,65.14959724,63.00424628,6.961206897,Yes,6.731205691,0.630360062
TNRC6B,TNRC6B,0.000160507,28,-2.916387469,0.233515639,1.924062706,7.853565343,1.444188723,2.199811276,1.14762931,Yes,7.428680104,0.561827536
